scenario_id,title,question,scenario_fingerprint,trajectory_tags,expected_ready_to_record,branch_summary,gold_status,reviewer_ref,reviewed_at,reviewer_notes
equation_addition_complete_reasoning,加减法方程·complete_reasoning,解方程x+7=25，并说明每一步的依据。,dd7e58692a66cfd0e6f9888147e10bbb6f9b58fd33e930ce2d8a3645fe6a7929,positive|complete_reasoning|equation_addition,true,"[{""step_id"": ""first_response"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""等式两边都减去7，得到x等于18。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""因为等式或数量关系两边做对应运算后，原来的关系仍然成立。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}, {""step_id"": ""follow_up"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""把18代回原式，18加7等于25，所以结果正确。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""我会把求出的结果代回原题，检查它是否满足全部条件。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}]",candidate,,,
equation_addition_misconception_repair,加减法方程·misconception_repair,解方程x+7=25，并说明每一步的依据。,8f9312df75d03809fd38f3b2109f3dd23d44fd8b564f4e81d523f874ff2ba1a4,negative_or_boundary|misconception_repair|equation_addition,true,"[{""step_id"": ""first_response"", ""branches"": [{""branch_id"": ""misconception"", ""response_kind"": ""misconception"", ""student_response"": ""把7移到右边以后还是加7，所以x等于32。""}, {""branch_id"": ""misconception_reason"", ""response_kind"": ""misconception"", ""student_response"": ""我是把规则理解错了，只记了表面步骤，没有检查数量关系。""}, {""branch_id"": ""misconception_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}, {""step_id"": ""follow_up"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""移项不是只换位置，应该把等式两边同时减去7。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""因为修正时要保持原来的等量或数量关系，不能只改一个符号。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}]",candidate,,,
equation_addition_support_boundary,加减法方程·support_boundary,解方程x+7=25，并说明每一步的依据。,8e0cc72b5705b5376cf1c5ddd47119ed38c47baef18de598ab871a77357af127,negative_or_boundary|support_boundary|equation_addition,false,"[{""step_id"": ""first_response"", ""branches"": [{""branch_id"": ""request_hint"", ""response_kind"": ""request_hint"", ""student_response"": ""我还不知道从哪里开始，能先给我一个小提示吗？""}, {""branch_id"": ""request_hint_reason"", ""response_kind"": ""request_hint"", ""student_response"": ""我还没有找到题目里的关键数量关系，所以需要先澄清或获得提示。""}, {""branch_id"": ""request_hint_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}, {""step_id"": ""follow_up"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""等式两边都减去7，得到x等于18。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""提示让我先抓住了第一步的数量关系，我会从这一步继续。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}]",candidate,,,
equation_addition_alternative_method,加减法方程·alternative_method,解方程x+7=25，并说明每一步的依据。,ece5e6a992ce440b60ab03db4f6866daf74a80e135b19707708ab81464266952,positive|alternative_method|equation_addition,true,"[{""step_id"": ""first_response"", ""branches"": [{""branch_id"": ""alternative_method"", ""response_kind"": ""alternative_method"", ""student_response"": ""也可以想哪个数加7等于25，用逆运算得到18。""}, {""branch_id"": ""alternative_method_reason"", ""response_kind"": ""alternative_method"", ""student_response"": ""这种方法利用了逆运算或等价数量关系，也能独立得到结果。""}, {""branch_id"": ""alternative_method_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}, {""step_id"": ""follow_up"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""把18代回原式，18加7等于25，所以结果正确。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""我会再用代入或标准步骤复核，两个方法结果一致才算完整。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}]",candidate,,,
equation_multiplication_complete_reasoning,乘法方程·complete_reasoning,解方程3x+7=25，并说明理由。,9f8f08979c03db4d5c0ba79252afb487e6282f2e780995c1097faa1a9733bde9,positive|complete_reasoning|equation_multiplication,true,"[{""step_id"": ""first_response"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""等式两边都减去7，得到3x等于18。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""因为等式或数量关系两边做对应运算后，原来的关系仍然成立。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}, {""step_id"": ""follow_up"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""再把两边都除以3，得到x等于6，并代回检验。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""我会把求出的结果代回原题，检查它是否满足全部条件。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}]",candidate,,,
equation_multiplication_misconception_repair,乘法方程·misconception_repair,解方程3x+7=25，并说明理由。,db2de518d437b6e5781a79168a49e29d3fa0b19021c9584a1f3f58b34181adef,negative_or_boundary|misconception_repair|equation_multiplication,true,"[{""step_id"": ""first_response"", ""branches"": [{""branch_id"": ""incorrect"", ""response_kind"": ""incorrect"", ""student_response"": ""先把25除以3，再减去7。""}, {""branch_id"": ""incorrect_reason"", ""response_kind"": ""incorrect"", ""student_response"": ""我是把规则理解错了，只记了表面步骤，没有检查数量关系。""}, {""branch_id"": ""incorrect_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}, {""step_id"": ""follow_up"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""要先消去加上的7，再处理乘在x前面的3。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""因为修正时要保持原来的等量或数量关系，不能只改一个符号。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}]",candidate,,,
equation_multiplication_support_boundary,乘法方程·support_boundary,解方程3x+7=25，并说明理由。,f602cf7b485b7aa1e4957d184881cba30746ba54102a43d366e7f1afc949107c,negative_or_boundary|support_boundary|equation_multiplication,false,"[{""step_id"": ""first_response"", ""branches"": [{""branch_id"": ""incomplete"", ""response_kind"": ""incomplete"", ""student_response"": ""我只想到先算一下，但还说不完整。""}, {""branch_id"": ""incomplete_reason"", ""response_kind"": ""incomplete"", ""student_response"": ""我还没有找到题目里的关键数量关系，所以需要先澄清或获得提示。""}, {""branch_id"": ""incomplete_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}, {""step_id"": ""follow_up"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""等式两边都减去7，得到3x等于18。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""提示让我先抓住了第一步的数量关系，我会从这一步继续。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}]",candidate,,,
equation_multiplication_alternative_method,乘法方程·alternative_method,解方程3x+7=25，并说明理由。,1515ec7034b734c01b84c134ddd1cc82d75af2d063a4ea7974054fc5bebe336e,positive|alternative_method|equation_multiplication,true,"[{""step_id"": ""first_response"", ""branches"": [{""branch_id"": ""alternative_method"", ""response_kind"": ""alternative_method"", ""student_response"": ""我也可以从3乘几再加7等于25倒着推，得到x等于6。""}, {""branch_id"": ""alternative_method_reason"", ""response_kind"": ""alternative_method"", ""student_response"": ""这种方法利用了逆运算或等价数量关系，也能独立得到结果。""}, {""branch_id"": ""alternative_method_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}, {""step_id"": ""follow_up"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""再把两边都除以3，得到x等于6，并代回检验。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""我会再用代入或标准步骤复核，两个方法结果一致才算完整。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}]",candidate,,,
fraction_addition_complete_reasoning,异分母分数加法·complete_reasoning,计算三分之一加六分之一，并说明为什么。,fa059110f248daca18aa84de5f5d0f693646dd994bd1938377d7c29b6cf2dc92,positive|complete_reasoning|fraction_addition,true,"[{""step_id"": ""first_response"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""先把三分之一通分成六分之二。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""因为等式或数量关系两边做对应运算后，原来的关系仍然成立。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}, {""step_id"": ""follow_up"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""六分之二加六分之一等于六分之三，也就是二分之一。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""我会把求出的结果代回原题，检查它是否满足全部条件。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}]",candidate,,,
fraction_addition_misconception_repair,异分母分数加法·misconception_repair,计算三分之一加六分之一，并说明为什么。,ab4193b7350e5b381691fc2d7561ae15eb2370b40fef908d176b8ef9c86aed29,negative_or_boundary|misconception_repair|fraction_addition,true,"[{""step_id"": ""first_response"", ""branches"": [{""branch_id"": ""misconception"", ""response_kind"": ""misconception"", ""student_response"": ""分子和分母分别相加，得到九分之二。""}, {""branch_id"": ""misconception_reason"", ""response_kind"": ""misconception"", ""student_response"": ""我是把规则理解错了，只记了表面步骤，没有检查数量关系。""}, {""branch_id"": ""misconception_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}, {""step_id"": ""follow_up"", ""branches"": [{""branch_id"": ""correct"", ""response_kind"": ""correct"", ""student_response"": ""异分母分数不能直接相加，要先统一分数单位。""}, {""branch_id"": ""correct_reason"", ""response_kind"": ""correct"", ""student_response"": ""因为修正时要保持原来的等量或数量关系，不能只改一个符号。""}, {""branch_id"": ""correct_clarify"", ""response_kind"": ""request_hint"", ""student_response"": ""我不太明白你问的是哪一步，可以说得更具体一点吗？""}]}]",candidate,,,
